keyword,destination_url
onboarding-notes,https://docs.google.com/document/d/14F2fx7H0sogxfq3gqZI-pw--W4saU9zE4IXIYdmIbkk/edit
chat,https://talent-cloud.slack.com/
dns,https://github.com/g0v-network/domains/tree/main/c4nada.ca.domain
auth-keys,https://te-auth.id.tbs-sct.gc.ca/oxauth/restv1/jwks
auth-config,https://te-auth.id.tbs-sct.gc.ca/oxauth/.well-known/openid-configuration
speedlinks,https://hackmd.io/@patcon/shortlinks-about#Bonus-protip-Speedlinks
my-tickets,https://github.com/GCTC-NTGC/gc-digital-talent/issues?q=is:open+assignee:@me+sort:updated-desc
my-reviews,https://github.com/GCTC-NTGC/gc-digital-talent/pulls?q=is:open+review-requested:@me+sort:updated-desc+user:GCTC-NTGC
my-prs,https://github.com/GCTC-NTGC/gc-digital-talent/pulls?q=is:open+assignee:@me+sort:updated-desc+user:GCTC-NTGC
gdrive,https://drive.google.com/drive/folders/0B7YPedMAnJ3KTndVLUVyTGc4eXM
gmail,https://mail.google.com/mail/#search/*@tbs-sct.gc.ca+label:inbox
code,https://github.com/GCTC-NTGC/gc-digital-talent/
repo,http://go.talent.c4nada.ca/code
github,https://github.com/gcTC-NTGC
gh,http://go.talent.c4nada.ca/github
storybook,https://main--61e099a1bb1465003a73d3ce.chromatic.com/
ui-library,https://www.chromatic.com/library?appId=61e099a1bb1465003a73d3ce&branch=main
ui-tests,https://www.chromatic.com/builds?appId=61e099a1bb1465003a73d3ce
ui-builds,https://www.chromatic.com/builds?appId=61e099a1bb1465003a73d3ce
ui-reviews,https://www.chromatic.com/pullrequests?appId=61e099a1bb1465003a73d3ce
chromatic,https://www.chromatic.com/pullrequests?appId=61e099a1bb1465003a73d3ce
notifications,https://github.com/notifications?query=repo:GCTC-NTGC/gc-digital-talent+reason:comment+reason:mention+reason:team-mention+reason:assign+reason:review-requested+reason:author
zenhub,https://app.zenhub.com/workspaces/gc-digital-talent-6092dc05157fa30010edaef9/board
dojo-miro,https://miro.com/app/board/uXjVOYKIfbo=/
dojo-calls,https://bit.ly/33R1pUw
howto-reminder,https://docs.google.com/document/d/1Vt_fPhcZMaJMU7S0p4LAG3-z5UubkM3NrOr6pmmLRmQ/edit#bookmark=kix.hsa1gcpjep8w
howto-retro,https://docs.google.com/document/d/1Vt_fPhcZMaJMU7S0p4LAG3-z5UubkM3NrOr6pmmLRmQ/edit#bookmark=id.rdrrafdi16bk
scrum-reminder-howto,https://docs.google.com/document/d/1Vt_fPhcZMaJMU7S0p4LAG3-z5UubkM3NrOr6pmmLRmQ/edit#bookmark=id.v94xpj5t2n9o
reminder-howto,http://go.talent.c4nada.ca/howto-reminder
scrum-notes,https://docs.google.com/document/d/1AZYLj_SXILRK7TrmLQiDRQxGbkeoIm3I7JjToXkXyNU/edit
sprint-notes,http://go.talent.c4nada.ca/scrum-notes
calls,https://bit.ly/patcon-nonrec-calls
autorec-calls,https://bit.ly/patcon-autorec-calls
scrum-calls,http://go.talent.c4nada.ca/calls
sprint-calls,http://go.talent.c4nada.ca/calls
sprint-standup,http://go.talent.c4nada.ca/calls
standup,http://go.talent.c4nada.ca/calls
sprint-retro,http://go.talent.c4nada.ca/calls
retro,http://go.talent.c4nada.ca/calls
sprint-planning,http://go.talent.c4nada.ca/calls
planning,http://go.talent.c4nada.ca/calls
sprint-review,https://bit.ly/patcon-talent-sr2
review-calls,https://bit.ly/patcon-talent-sr2
review,https://bit.ly/patcon-talent-sr2
timer,https://cuckoo.team/gc-digital-talent
dojo-trello,https://trello.com/b/yKEhArGz/digital-dojo
dollarama-padlock,https://docs.google.com/document/d/1QNWzDypJ3n5boBV58dBU0qzOS85i_IeZygoPueQEb6g/edit#
retro-board,https://easyretro.io/publicboard/Bb8eeNIEzucUDrcOv0T1LaCp71m1/8e4ee7c2-bcdd-4e8e-bcd8-ca381cd44e44
retro-board-2023-02-22,https://easyretro.io/publicboard/Bb8eeNIEzucUDrcOv0T1LaCp71m1/8e4ee7c2-bcdd-4e8e-bcd8-ca381cd44e44
retro-board-2023-01-26,https://easyretro.io/publicboard/Bb8eeNIEzucUDrcOv0T1LaCp71m1/2d30add0-4767-4118-a712-1d188548ea4a
retro-board-2023-01-12,https://easyretro.io/publicboard/Bb8eeNIEzucUDrcOv0T1LaCp71m1/59fb8035-b5a6-4b08-918e-8ae61b982e25
retro-board-2022-12-28,https://easyretro.io/publicboard/ADTFk5S1DIUfT6BLwZieAEdeUP82/4e1070d6-aef3-4334-b762-ed9785b63ae2
calendar,https://bit.ly/patcon-talent-cal
webflow,https://gc-demo-b13fe2.webflow.io/
iap-webflow,https://gc-demo-b13fe2.webflow.io/apprenticeship
iap-figma,https://www.figma.com/file/KPprTII0uHFCK5h6QXQexS/ESDC-IT-Apprenticeship-Program?node-id=10%3A6864
webflow-iap,http://go.talent.c4nada.ca/iap-webflow
dojo-notes,https://docs.google.com/document/d/1yG51bXSH6zooMJX28xV3GO0C9OFC2gud5PoNPmWyxjA/edit
brinda-calls,https://bit.ly/3phdABu
grant-calls,https://bit.ly/33SOem9
learning-calls,https://go.talent.c4nada.ca/autorec-calls
translation,https://github.com/GCTC-NTGC/gc-digital-talent/tree/main/frontend/common#translation-utility-script
ready,https://github.com/GCTC-NTGC/gc-digital-talent/blob/main/documentation/definition-of-ready.md
done,https://github.com/GCTC-NTGC/gc-digital-talent/blob/main/documentation/definition-of-done.md
dor,http://go.talent.c4nada.ca/ready
dod,http://go.talent.c4nada.ca/done
sociocracy-book,https://drive.google.com/uc?export=download&id=1mz8oIHUoVKAcn88pKcogi4Oxwg2JjLq8
grants-magic-hips,https://open.spotify.com/playlist/5wd9Ro5ycXEs1gxx2lMkCR?si=ac97b76e55134174&nd=1
video,https://vimeo.com/486606611/79e3081ea4
videos,https://drive.google.com/drive/folders/1-ug7hiiKRH8a9wB58r3tHS1FjFk4BPsy
patcon-checkins,https://docs.google.com/document/d/1fCyzxq9ADsG-qIjJsOs93_mAfukoB28VYwed5HgaOPI/edit#
sprint-notes,https://docs.google.com/document/d/1GeKVgvFTvhQ-izaHi3zTiHU0c5VjjeGoFV-F4FAx8Mk/edit#
learning-notes,https://docs.google.com/document/d/16zhgbrwRhaBqg7l96CZqyFYIAR86HU43rkGWk5SUxo4/edit#
map,https://www.google.com/maps/d/edit?mid=1oov0qH5yaRL76NjAeZKelqSBTrTb6Oj4
logs,https://github.com/patcon/go.talent.c4nada.ca/actions
tools,https://docs.google.com/spreadsheets/d/19cvWo7nhed1SR9xohuxbctbOE0yjfhscsCM3ogPIQIU/edit#gid=0
report,https://talent.canada.ca/en/talent-cloud/
rapport,https://talent.canada.ca/fr/talent-cloud/
image-editor,https://www.befunky.com/create/crop-photo/
learning-topics,https://docs.google.com/document/d/16zhgbrwRhaBqg7l96CZqyFYIAR86HU43rkGWk5SUxo4/edit#bookmark=id.axm1bcs89dtq
acronerd,https://talent-cloud.slack.com/customize/slackbot
slackmoji,https://talent-cloud.slack.com/customize/emoji
social-calls,http://go.talent.c4nada.ca/calls
manual-of-me,https://github.com/GCTC-NTGC/gc-digital-talent/issues/2263
sitemap,https://docs.google.com/spreadsheets/d/17A3n9kCyr0lELtXYfegI8tNxlN1-vJVUK37NExYNHUI/edit#gid=1400377925
guidance-urls,"https://www.tbs-sct.canada.ca/pol/doc-eng.aspx?id=24227#appB"
guidance-web-usability,https://www.tbs-sct.canada.ca/pol/doc-eng.aspx?id=24227
web-usability,http://go.talent.c4nada.ca/guidance-web-usability
grantfest-2022,https://docs.google.com/document/d/1aARlFC4GVOy_UOIJrZsy9XpzZVHZgTNwQcRfFnWNtrw/edit
vacation,https://docs.google.com/spreadsheets/d/1w09BhETnaXS_nviJujSGr_VO870vOJ31CTt5Fj669lg/edit#gid=1137276160
deploy-script,https://docs.google.com/document/d/1iCUt_y5WIEtqapZL6S-lm_UIAshLEHeLeA2FjFoYRQY/edit?usp=sharing
community-notes,https://docs.google.com/document/d/1ivzgiYByIBvomb7oegBc6q91gdqy4w7UfxxDYe7YsMw/edit#
